type,unixTimestamp,sensorTimestamp,Gx,Gy,Gz
ACCELEROMETER,55,443106443496574,-0.023942016,0.088585466,9.911995
ACCELEROMETER,74,443106463538175,-0.04070143,0.079008654,9.950302
ACCELEROMETER,78,443106463538175,-0.04070143,0.079008654,9.950302
ACCELEROMETER,86,443106473608976,0.038307227,0.019153614,9.902418
ACCELEROMETER,95,443106483518742,-0.033518825,0.06943185,9.92636
ACCELEROMETER,107,443106493589542,0.04070143,0.055066638,9.895236
ACCELEROMETER,115,443106503660343,0.016759412,-0.016759412,9.950302
ACCELEROMETER,124,443106513731144,0.0047884034,0.031124622,9.919178
ACCELEROMETER,133,443106523801945,0.038307227,0.0047884034,9.923966
ACCELEROMETER,145,443106533872745,-0.05746084,0.045489833,9.89763
ACCELEROMETER,153,443106543913029,-0.062249243,0.0047884034,9.919178
ACCELEROMETER,163,443106553983829,0.007182605,0.0047884034,9.92636
ACCELEROMETER,176,443106564024113,-0.02873042,-0.02873042,9.883265
ACCELEROMETER,184,443106574125431,-0.02633622,0.11492168,9.921572
ACCELEROMETER,193,443106584196232,-0.02873042,-0.021547815,9.880871
ACCELEROMETER,204,443106594236515,0.05746084,-0.031124622,9.892841
ACCELEROMETER,215,443106604276798,-0.059855044,0.021547815,9.92636
ACCELEROMETER,225,443106614378117,-0.08379706,0.07182605,9.868899
ACCELEROMETER,236,443106624418400,-0.045489833,-0.016759412,9.911995
ACCELEROMETER,247,443106634458683,0.031124622,-0.045489833,9.873688
ACCELEROMETER,255,443106644498966,0.0,0.009576807,9.902418
ACCELEROMETER,266,443106654539249,0.031124622,-0.021547815,9.890448
ACCELEROMETER,276,443106664579533,0.079008654,-0.02633622,9.92636
ACCELEROMETER,285,443106674680851,-0.04070143,0.0023942017,9.916783
ACCELEROMETER,296,443106684721134,0.016759412,0.033518825,9.885659
ACCELEROMETER,304,443106694791935,-0.045489833,0.007182605,9.895236
ACCELEROMETER,321,443106704832218,0.019153614,-0.076614454,9.895236
ACCELEROMETER,326,443106714903019,-0.038307227,0.035913024,9.919178
ACCELEROMETER,338,443106724912785,-0.009576807,0.023942016,9.895236
ACCELEROMETER,345,443106735014103,0.019153614,0.04309563,9.921572
ACCELEROMETER,360,443106745054386,0.02873042,0.007182605,9.909601
ACCELEROMETER,366,443106755155704,0.038307227,0.045489833,9.868899
ACCELEROMETER,377,443106765195988,0.0023942017,0.007182605,9.92636
ACCELEROMETER,385,443106775266788,-0.019153614,0.047884032,9.931149
ACCELEROMETER,400,443106785307072,-0.050278235,0.009576807,9.964667
ACCELEROMETER,408,443106795347355,0.007182605,-0.009576807,9.866506
ACCELEROMETER,418,443106805387638,0.016759412,0.0,9.938332
ACCELEROMETER,425,443106815427921,0.019153614,0.0023942017,9.916783
ACCELEROMETER,440,443106825468204,0.05267244,0.062249243,9.91439
ACCELEROMETER,446,443106835539005,0.011971008,0.035913024,9.940725
ACCELEROMETER,459,443106845579288,0.011971008,0.035913024,9.940725
ACCELEROMETER,465,443106855650089,0.016759412,0.01436521,9.844957
ACCELEROMETER,477,443106865690372,0.016759412,0.035913024,9.945514
ACCELEROMETER,488,443106875730656,0.009576807,0.04309563,9.92636
ACCELEROMETER,496,443106885770939,-0.016759412,0.107739076,9.89763
ACCELEROMETER,505,443106895841740,-0.01436521,-0.023942016,9.876082
ACCELEROMETER,521,443106905882023,0.02633622,0.009576807,9.916783
ACCELEROMETER,526,443106915922306,0.059855044,0.10055647,9.89763
ACCELEROMETER,539,443106925962589,-0.019153614,0.021547815,9.919178
ACCELEROMETER,546,443106936033390,-0.007182605,0.059855044,9.876082
ACCELEROMETER,560,443106946073673,-0.06464344,0.079008654,9.878476
ACCELEROMETER,566,443106956113956,0.019153614,0.007182605,9.969456
ACCELEROMETER,579,443106966184757,0.050278235,0.08379706,9.876082
ACCELEROMETER,586,443106976225040,-0.033518825,0.009576807,9.933543
ACCELEROMETER,597,443106986265324,-0.050278235,-0.021547815,9.907207
ACCELEROMETER,606,443106996366642,0.02633622,0.045489833,9.909601
ACCELEROMETER,617,443107006406925,0.011971008,0.02873042,9.916783
ACCELEROMETER,626,443107016477726,-0.031124622,0.011971008,9.878476
ACCELEROMETER,640,443107026518009,0.016759412,-0.02633622,9.876082
ACCELEROMETER,650,443107036588810,-0.0047884034,-0.016759412,9.907207
ACCELEROMETER,659,443107046659611,-0.01436521,-0.011971008,9.94312
ACCELEROMETER,668,443107056730411,0.007182605,0.031124622,9.871294
ACCELEROMETER,679,443107066770695,-0.009576807,0.01436521,9.921572
ACCELEROMETER,690,443107076872013,-0.05267244,0.038307227,9.911995
ACCELEROMETER,699,443107086912296,-0.04309563,0.055066638,9.895236
ACCELEROMETER,707,443107097013615,0.04309563,-0.0047884034,9.885659
ACCELEROMETER,721,443107107053898,0.033518825,0.023942016,9.931149
ACCELEROMETER,726,443107117155216,0.021547815,0.02633622,9.892841
ACCELEROMETER,736,443107127164982,-0.0023942017,-0.0023942017,9.868899
ACCELEROMETER,746,443107137266300,0.031124622,0.007182605,9.854534
ACCELEROMETER,761,443107147337101,-0.047884032,0.10055647,9.890448
ACCELEROMETER,766,443107157377384,-0.009576807,0.038307227,9.92636
ACCELEROMETER,778,443107167417667,-0.007182605,0.02873042,9.849746
ACCELEROMETER,787,443107177488468,0.08140286,0.055066638,9.873688
ACCELEROMETER,801,443107187528751,-0.038307227,0.019153614,9.847352
ACCELEROMETER,806,443107197599552,0.007182605,-0.011971008,9.868899
ACCELEROMETER,820,443107207639835,-0.011971008,-0.074220255,9.866506
ACCELEROMETER,827,443107217741154,0.059855044,0.0,9.880871
ACCELEROMETER,842,443107227811954,-0.01436521,0.045489833,9.904813
